naam,invalshoeken,objectnummer,beelden ontsluiten voor publiek?,inhoudelijke registratie koepel en deelnummers,waardering,fotocontrole CP,fotocontrole,beelden klaar,naam beeld(en),vervaardiger,toestemming auteursrecht,Attributie,publicatie op cogent (via europeana),publicatie op erfgoedinzicht,opmerkingen,collectiepresentatie?
Ianthe,Italiaans postmodernisme,1999-0080,publiek,ok (zonder beschrijving),,,nieuwe foto; ok,ok,1999-0080$3;1999-0080$4,"Mendini, Alessandro*Vanini",ok,Alessandro Mendini,ok 2025-01-30,ok 2025-01-30,,
Ianthe,Italiaans postmodernisme,2001-0127,publiek,ok,,,,ok,2001-0127$7.tif,"Mendini, Alessandro*Alessi",ok,Alessandro Mendini,ok 2022-09-13,ok 2022-09-13,,
Ianthe,Italiaans postmodernisme,2001-0128,publiek,ok,,,,ok,2001-0128$7.tif,"Mendini, Alessandro*Venini",ok,Alessandro Mendini,ok 2022-09-13,ok 2022-09-13,,
Ianthe,Italiaans postmodernisme,2001-0129,publiek,ok,,,,ok,2001-0129,"Mendini, Alessandro*Alessi",ok,Alessandro Mendini,ok 2022-04-08,ok 2022-04-08,,
Ianthe,Italiaans postmodernisme,2001-0130_0-3,publiek,ok,,,,ok,2001-0130_0-3,"Mendini, Alessandro*Margarini, Annalisa*Alessi",ok,Alessandro Mendini; Annalisa Margarini,ok 2022-11-07,ok 2022-11-07,,
Ianthe,Italiaans postmodernisme,2001-0130_1-3,niet-publiek,ok,,,,ok,2001-0130_1-3,"Mendini, Alessandro*Margarini, Annalisa*Alessi",ok,Alessandro Mendini; Annalisa Margarini,ok 2023-07-07,nvt,,
Ianthe,Italiaans postmodernisme,2001-0130_2-3,niet-publiek,ok,,,,ok,2001-0130_2-3,"Mendini, Alessandro*Margarini, Annalisa*Alessi",ok,Alessandro Mendini; Annalisa Margarini,ok 2023-07-07,nvt,,
Ianthe,Italiaans postmodernisme,2001-0130_3-3,niet-publiek,ok,,,,ok,2001-0130_3-3,"Mendini, Alessandro*Margarini, Annalisa*Alessi",ok,Alessandro Mendini; Annalisa Margarini,ok 2023-07-07,nvt,,
Ianthe,Italiaans postmodernisme,2001-0136,publiek,ok,,,,ok,2001-0136,"Mendini, Alessandro*Alessi",ok,Alessandro Mendini,ok 2022-04-08,ok 2022-04-08,,
Ianthe,Italiaans postmodernisme,2002-0033_0-4,publiek,ok,,,foto nemen; ok,nummer,2002-0033_0-4$1;2002-0033_0-4$2,"Mendini, Alessandro*Alessi",ok,Alessandro Mendini,ok 2025-03-10,ok 2025-03-10,,
