,object_number,rights,attribution
638,0644,Copyright Status Not Evaluated,
639,0645,Copyright Status Not Evaluated,
640,0647,Copyright Status Not Evaluated,
641,0648,Copyright Status Not Evaluated,
642,0649,Copyright Status Not Evaluated,
643,0650,Copyright Status Not Evaluated,
644,0651,Copyright Status Not Evaluated,
645,0652,Copyright Status Not Evaluated,
646,0653,Copyright Status Not Evaluated,
647,0654,Copyright Status Not Evaluated,
648,0655,Copyright Status Not Evaluated,
649,0656,Copyright Status Not Evaluated,
650,0657,CC0 1.0,
651,0658,Copyright Status Not Evaluated,
652,0659,Copyright Status Not Evaluated,
653,0660,Copyright Status Not Evaluated,
654,0661,Copyright Status Not Evaluated,
655,0662,Copyright Status Not Evaluated,
656,0663,Copyright Status Not Evaluated,
657,0664,Copyright Status Not Evaluated,
658,0665,Copyright Status Not Evaluated,
659,0666_0-2,Copyright Status Not Evaluated,
660,0666_1-2,Copyright Status Not Evaluated,
661,0666_2-2,Copyright Status Not Evaluated,
662,0667_0-2,Copyright Status Not Evaluated,
663,0667_1-2,Copyright Status Not Evaluated,
664,0667_2-2,Copyright Status Not Evaluated,
665,0669,Copyright Status Not Evaluated,
666,0670,Copyright Status Not Evaluated,
667,0671,Copyright Status Not Evaluated,
668,0672,Copyright Status Not Evaluated,
669,0673,Copyright Status Not Evaluated,
670,0674,Copyright Status Not Evaluated,
671,0675_0-2,CC0 1.0,
672,0675_1-2,CC0 1.0,
673,0675_2-2,CC0 1.0,
674,0676,Copyright Status Not Evaluated,
675,0677,Copyright Status Not Evaluated,
676,0678,Copyright Status Not Evaluated,
677,0679_0-2,Copyright Status Not Evaluated,
678,0679_1-2,Copyright Status Not Evaluated,
679,0679_2-2,Copyright Status Not Evaluated,
680,0680,Copyright Status Not Evaluated,
681,0681,Copyright Status Not Evaluated,
682,0682,Copyright Status Not Evaluated,
683,0683,Copyright Status Not Evaluated,
684,0684,Copyright Status Not Evaluated,
685,0685,Copyright Status Not Evaluated,
686,0686,Copyright Status Not Evaluated,
687,0687,Copyright Status Not Evaluated,
688,0688,Copyright Status Not Evaluated,
689,0689,CC0 1.0,
690,0690,Copyright Status Not Evaluated,
691,0691,Copyright Status Not Evaluated,
692,0692,Copyright Status Not Evaluated,
693,0693,Copyright Status Not Evaluated,
694,0694,Copyright Status Not Evaluated,
695,0695,Copyright Status Not Evaluated,
696,0696,Copyright Status Not Evaluated,
697,0697,Copyright Status Not Evaluated,
698,0698,CC0 1.0,
699,0699,CC0 1.0,
700,0700,Copyright Status Not Evaluated,
701,0701,Copyright Status Not Evaluated,
702,0702,Copyright Status Not Evaluated,
703,0703,Copyright Status Not Evaluated,
704,0704_0-5,Copyright Status Not Evaluated,
705,0704_1-5,Copyright Status Not Evaluated,
706,0704_2-5,Copyright Status Not Evaluated,
707,0704_3-5,Copyright Status Not Evaluated,
708,0704_4-5,Copyright Status Not Evaluated,
709,0704_5-5,Copyright Status Not Evaluated,
710,0705,Copyright Status Not Evaluated,
711,0706,Copyright Status Not Evaluated,
712,0707,Copyright Status Not Evaluated,
713,0708,CC0 1.0,
714,0709,CC0 1.0,
715,0710,CC0 1.0,
716,0711,CC0 1.0,
717,0712,CC0 1.0,
718,0713,CC0 1.0,
719,0714,CC0 1.0,
720,0715_0-2,CC0 1.0,
721,0715_1-2,CC0 1.0,
722,0715_2-2,CC0 1.0,
723,0716_0,Copyright Status Not Evaluated,
724,0716_1,Copyright Status Not Evaluated,
725,0716_2,Copyright Status Not Evaluated,
726,0716_3,Copyright Status Not Evaluated,
727,0716_4,Copyright Status Not Evaluated,
728,0717,CC0 1.0,
729,0718_0-2,Copyright Status Not Evaluated,
730,0718_1-2,Copyright Status Not Evaluated,
731,0718_2-2,Copyright Status Not Evaluated,
732,0719,Copyright Status Not Evaluated,
733,0720,CC0 1.0,
734,0721,Copyright Status Not Evaluated,
735,0722,Copyright Status Not Evaluated,
736,0723_0-2,Copyright Status Not Evaluated,
737,0723_1-2,Copyright Status Not Evaluated,
738,0723_2-2,Copyright Status Not Evaluated,
739,0724,Copyright Status Not Evaluated,
740,0725,Copyright Status Not Evaluated,
741,0726,Copyright Status Not Evaluated,
742,0727,Copyright Status Not Evaluated,
